Tweet,Message/tweets,happy_words,sad_words,polarity
232,"waqarchoudhary IamABjabbar MaleehaHashmey Most of people living in Canada  uk  Europe Praising Pakistan 
As Pakistan is working hard than most of the country
And HamidMirPAK is busy in something else",praising,hard,neutral
233," PorrasSilvia There arent enough ventilators for coronavirus so a London Ont. man giving his design away
",enough,,positive
234,antitheticate blm8688 Scribulatora I occasionally marvel at the fact that a department store once owned 75 of Canada.,marvel,,positive
235,"BUCKET LIST INSPO

For Eastern skiers colorful and charming French Canada is the perfect getaway both exotic and easy to access. Let this guide be your compass for skiing around Qubec. 

READ MORE  ","charming, colorful, easy, perfect",,positive
236, TheTorontoSun South Korea boy band BTS postpones U.S. Canada tour over coronavirus  ,,,neutral
237,"Canadians outside the country who are directly impacted by COVID19 are eligible to apply for the Emergency Loan Program for Canadians Abroad to facilitate their return to Canada and to cover basic essential needs while they work towards their return. 
 ","facilitate, work",,positive
238,"Canadians outside the country who are directly impacted by COVID19 are eligible to apply for the Emergency Loan Program for Canadians Abroad to facilitate their return to Canada and to cover basic essential needs while they work towards their return. 
 ","facilitate, work",,positive
239," NMCharts Canadas biggest radio station Hits93Toronto will play NICKIMINAJs songs nonstop until midnight EST NickiDay

Tune i",,,neutral
240, PSPCSPAC PSPC employees  Please note that VPN access to the PSPC network will be interrupted tomorrow March 28 for approximately one,,,neutral
241,"The same has happened in Canada. Why borrow more why print more money why is the dollar dropping Why is our economy dead long before the oil drop and the fake virus came along. 
China must love this those with wealth lose.
No one else does. ",,"dead, fake, virus",negative
242, tylerwhat16 Jason Kenneys Health Minister Tyler Shandro and his wife are being accused of berating a Calgary doctor at his house i,,,neutral
243,GlobalMontreal BC1 They waited this long Makes no sense with Quebec having the highest cases in Canada,,,neutral
244, TeeKaay10 Canada is not allowed to hear about this on fake news CBCCTV or Global NewsTrudeau and the Liberals will not allow this k,,fake,negative
245,"Rideau centre at 5pm on a Friday 
ctvottawa cbcottawa ottawa ottcity capital Canada rideaucentre ottawaphotography malls deserted lockdown  CF Rideau Centre ",,,neutral
246,"CoronaLockdown Due to Corona we officially have three days of the week

1. Yesterday 
2. Today
3. Tomorrow",,,neutral
247, CCUAACCF Credit unions have always been there for their members. Now more than ever Canadas credit unions are ready to help with a,ready,,positive
248, globeandmail B.C. social distancing measures appear to have slowed the spread of COVID16  ,,slowed,negative
249,DFBHarvard Awesome man Canada needs a real man type human,awesome,,positive
250," NancyCrouse I am in Ontario and I just received an alert on my cell phone. CIVIL EMERGENCY ALE. 
All people returning to Canada mus",,emergency,negative
251,AndrewYang I heard Canada will be giving out 2000 per month per person during the lock down.,,,neutral
252," DavidJHarrisJr This is EXACTLY what happens when you dont take care of your own first
",,,neutral
253, Travellersoul76 carpediemeire Adventuringgal TravelBugsWorld TrippaTrips jasontravelblog LoriMoreno MadHattersNYC suziday123 ,,,neutral
254," FilomenaTassi What is social distancing

 avoid crowded places and nonessential gatherings
 avoid greetings such as handshakes
 a",,crowded,negative
255,Did you know Canadas Dairy industry provides more than 218000 jobs annually 1 in 8 jobs from farmers suppliers processors transporters to grocers are involved in bringing food to tables in Canada and around the world. farmfactfriday dairy farming agriculture ,,,neutral
256,JoeHasell MaxCRoser I mean... its behind Canadas... and we have 110th the population,,,neutral
257, PSPCSPAC PSPC employees  Please note that VPN access to the PSPC network will be interrupted tomorrow March 28 for approximately one,,,neutral
258, dfergusson Come on Canada and BC How many private care homes in B.C. had dangerously low staffing and horrible health conditions plu,,horrible,negative
259,chrismh WHO DrTedros CPHOCanada CDCgov CraigASpencer raghuvenugopal JamesOrbinski jamesmaskalyk NaheedD jwnickerson buissonnierem chrismh is at the TOP of the list of people to follow for trusted relevant important information.,"important, top, trusted",,positive
260,"splathalla Damn canada is taking it hard...
Germany less cars... More social contacts because the people walk.
Proof I saw it",,damn,negative
261, CBCNorth Big new numbers from the N.W.T.  hundreds of people who completed selfisolation plans and online selfassessments for COVID,,,neutral
262," AmeerRosic Dear Canadian airlines. Here is an idea.

Canada is so expensive to travel. Just plain stupid. 

Create an all you can fly",,expensive,negative
263,"This is what we can expect so far  COVID19 CANADA
",,,neutral
264,netflix you charge us for 4k video...if youre decreasing our quality of video in Canada then decrease our monthly plan rate....smh,,,neutral
265," DrJacobsRad Chinese ambassador says COVID19 cooperation not enough to fix relationship with Canada.

What we did was for the peopl",enough,,positive
266, jvipondmd Hey Canada want some reassurance  Our death rates are parallelling South Korea not Italy or NYC. ,reassurance,death,neutral
267, japantimes Canada urges U.S. not to put troops at border during coronavirus pandemic ,,,neutral
268,13 Hand Creams the ELLE Canada Editors Swear By ,,,neutral
269, ChaskaDaisy US Space Force launches satellite after short delay  BBC News ,,delay,negative
270, xtraferocity Retired respiratory therapist John Strupat said he made the decision after failing to get any kind of serious considerati,,failing,negative
271, danwootton EXCLUSIVE Prince Harry and Meghan have fled Canada to escape the coronavirus pandemic and moved permanently to California,,,neutral
272,So grateful to live in Canada. ,grateful,,positive
273," ChristineSavar1 MattsCravat 
I am from Qubec Canada looking at the season 11 of Masterchef Australia in French and I just learned",,,neutral
274, ShadyMixerFacts .LittleMixs BreakUpSong is currently in the Top 10 on iTunes of 44 territories including the US Canada UK German,top,,positive
275," NancyCrouse I am in Ontario and I just received an alert on my cell phone. CIVIL EMERGENCY ALE. 
All people returning to Canada mus",,emergency,negative
276,Launched in Canada today ,,,neutral
277, ReaalAmerican AOC Bernie and Canada have the answer 2000 a month to everyone. ,,,neutral
278, charlesrusnell Alberta health minister accused of berating Calgary physician intimidating citizens  CBC News ,,intimidating,negative
279,mclovinbell ScottTerrioHMA Theyre truly allergic to good decisions. Bwahahahaha.,good,allergic,neutral
280,March 24 Update from the Office of the Chief Human Resources Officer OCHRO   ,,,neutral
281,"Health Canada is warning Canadians to be cautious with product claims on preventative measures treatments and cures for COVID2019. These health products are making unauthorized claims and may actually put your health at risk. 

 ",,warning,negative
282,CochraneCBC Hmm the dates 12th and 16th for social distance implementation. Incubation is up to 14 days. Also 1 million people passing through airports in Canada between 14th and 20th. The numbers the base their model on will always be those 2 weeks behind. ,,,neutral
283,COVID19  Are you a snow bird or traveller who has returned to Canada in the last few days Even if you dont have any symptoms of the coronavirus make sure you follow the mandatory 14day selfisolation. Together lets flatten the curve  ,,symptoms,negative
284,JeremiahJohns66 JanetBrown980 CKNW GlobalBC jillreports steeletalk You know all flights landing in Canada have CANADIANS on them right,right,,positive
285, minibubbly This is excellent news for Canada.,excellent,,positive
286,Temporary foreign workers some international students and approved permanent residents who havent yet landed are now able to enter Canada. Info  ,,,neutral
287,Until June 30 2020 travel to Canada will be restricted for all foreign nationals with exemptions incl temporary foreign workers some international students and approved permanent residents who havent yet landed are now able to enter Canada. Info  ,,restricted,negative
288, NavdeepSBains If youre a business that is ready and willing to retool production to help support Canadas fight against COVID19 he,"ready, support, willing",,positive
289, JohnTheFame Americans watching Canada and Europe take care of their citizens during the pandemic ,,,neutral
290," btsotc MOTS 7 has achieved 21 1s on Official Charts
1 US
1 Japan
1 UK
1 Germany
1 France
1 Korea
1 Australia
1 Spain
1 Can",,,neutral
291,CRAIG Canada cant afford social distancing apathy  ,afford,apathy,neutral
292,DavidDobrik I dont have venmo in Canada but heres my paypal...my son and I could really use some help with groceries right now  ,right,,positive
293, CFHSvcs A Govt of Canada COVID19 selfassessment tool is now available. I encourage anyone experiencing symptoms or who have concern,,"concern, symptoms",negative
294," ZubyMusic Babies have been born at 2122 weeks and survived so that cannot be correct.

And consciousness doesnt define human life",,,neutral
295,Skyscrapers across the country are glowing hearts as a sign of hope and solidairty amid the outbreak   Modern Vision Photography uFaitlemou uTryamkinschinstrap uJake24601 Canada Toronto Vancouver Niagara Quebec CoronavirusCanada COVIDCanada ,"glowing, modern",,positive
296," AaronGoodvin Canada Ive got a personal message for you.

stayhomecanada ",,,neutral
297, genesimmons Coronavirus Mexicans demand crackdown on Americans crossing the border  BBC News ,,,neutral
298,Delta flights from MSP to Honolulu Montreal Vancouver and Toronto are suspended. ,,,neutral
299," Jantafrench The Alberta legislature is reconvening Tuesday. Emergency legislation is coming.

If you missed it heres a story about t",,"emergency, missed",negative
300, cbcnewsbc BREAKING NEWS Modelling shows physical distancing has halved spread of COVID19 in B.C. officials say  CBC News ,,breaking,negative
301,DeJongMatt Wow Canada pucks its leaders through boxing matches what duels are no longer in  By the way fool this us nothing to be proud of.  Just goes to show how second rate Canadia is as a country,"proud, wow",,positive
302, FinanceCanada ScamAlert If you get a text message saying you received a deposit for the Canada Emergency Response Benefit. Beware it,,"beware, emergency",negative
303,Glencore PLC halted a number of smaller mines due to government restrictions to curb the spread of the coronavirus but added its larger operations were not materially impacted. Nickel Coal Zinc Mining Africa Canada IronCoveGlobal ,,,neutral
304, 22Minutes Harry and Meghan have left Canada and moved to California which means the only Canadian royalty left is Eugene Levy and Ca,,,neutral
305, Parks Canada will no longer be issuing public avalanche bulletins for the remainder of the 2020 spring season. Please stay home to help limit the spread of COVID19 and to minimize demands placed on our emergency response teams.,,"avalanche, emergency, limit",negative
306," AndreaWoo New from me It took a global pandemic but B.C. is now moving forward on safe supply
",safe,,positive
307,lyricatrevelyan Sorry for delays. Guess canada is really going strong on containing tbe virus spread.,,"sorry, virus",negative
308, kieranleavitt BREAKING Calgary woman may go to police over Alberta health ministers email NDP calls for resignation ableg COVID19,,"breaking, resignation",negative
309,Industry Advisory Production Program Updates March 27. Click below for more details   CdnFilm COVID19 ,,,neutral
310,"TrueTorontoGirl No kidding

I love visiting Canada.

After all this Covid stuff of course.",love,,positive
311,"FarandWidecom This map messed with my mind. Canada does not fair well. Australia is huge

",fair,messed,neutral
312," TonyBurke Canada takes wage subsidy to 75
wagesubsidynow auspol
  ",,,neutral
313, gmbutts Canada is not perfect. No place is. But gee whiz its reassuring to see political leaders of different parties put politics as,,,neutral
314,Do you remember One Chance by The Partland Brothers Hear it on PopCanRetro at  for Canadas Best Music of 70s 80s 90s,best,,positive
315,"Darkness tests stars but they shine. Storms test trees but they stand. Adversity tests the great but they soar.                 
Author Matshona Dhliwayo

An inspiring quote that describes the Spirit of SarniaLambton and Canada.
Mayor Mike Bradley
 ","great, inspiring","adversity, darkness",neutral
316,Whats New on Netflix Canada This Week March 27th 2020  ,,,neutral
317,"First shame on you shandro for berating a doctor over a meme secondly I cant believe that you would go to the doctors house to endanger his family when we are currently in the middle of a global pandemic

ridiculous
I hope you get replaced ",,"endanger, ridiculous, shame",negative
318,"During the Covid Pandemic  Secureship will donate 15 of your shipping costs to Food Banks Canada. There will be no change to your shipping price. Learn more 

Shipping Canada Covid19 Coronavirus Covid19Canada ",,,neutral
319,SeriousBlack CTVNews Come back to Canada amp your perception may change.,,,neutral
320,Interesting reading the comments to this tweet.  Many in Australia raise similar points to what is going on in Canada.  Chinese buying up all the real estate there. ,interesting,,positive
321, surajee29264566 USA CANADA weekend start keep streaming Bhula Dunga   SidNaaz  if you are true fan and if you,,,neutral
322,Young bald eagle practising SocialDistancing on a logging post in the fraserriver richmondbc richmondmoments birds wildlife nature raptors baldeagle vancouverbirds 604explore explorebc sharecangeo natgeoyourshot wildvancouver canadianwildlife canada vancity ,,,neutral
323," mcspocky Americans not welcome due to virus say Mexicans.

Mexican protesters shut a US southern border crossing amid fears that unte",,"fears, virus",negative
324,So far Canadas coronavirus cases are doubling at a slower rate than elsewhere and hospitals are not yet overwhelmed. ,,slower,negative
325, Moonbootica Canada mourns Takaya  the lone sea wolf whose spirit captured the world ,,lone,negative
326,"Universities Canada is partnering with the Federal government to share good information about whats happening on your campus what universities are doing to find a vaccine and strategies for navigating travel and social distancing.

See here 

COVID19 ",good,,positive
327, markusoff Atop of accosting a doctor to yell at him on his driveway Alberta health ministers threatening emails to ppl who harangue,,"harangue, threatening",negative
328,agirlhasnoshaym wait... youre Canadian isnt everyone there normally super duper nice and kind wtf is going on in Canada,"nice, super",,positive
329,"Indigo is temporarily laying off 5200 of its employees during the COVID19 pandemic. The book seller employs about 7000 people in Canada.
",,,neutral
330," BBCWorld Mexicans demand crackdown on Americans crossing the border 

",,,neutral
331,"Speaking of scams then theres THIS guy

",,scams,negative
332, BloombergCA Italy reports its highest number of deaths from the coronavirus even as the number of new cases declines ,,declines,negative
333, MrAndyNgo Justin Trudeau authorized the transfer of approximately 17 tons of protective supplies to China... now with the COVID19 v,protective,,positive
334,The Government of Canada announced yesterday that it has revised its Insured Mortgage Purchase Program to provide stable funding to mortgage lenders amp CMHC said it is ready to expand the issuance of Canada Mortgage Bonds to keep this important mortgage funding market operational.,"important, ready, stable",,positive
335,How Canadas Best Employers make every employee a brand evangelist ,best,,positive
336, bdcca Backed by BDC and EDC the new program will help Canadas financial institutions provide 40B in additional credit to entrepre,,,neutral
337,Thank you Canada  you are great people I will always remember how Saanich people protected Prince Harry Meghan King Archie  ,"great, thank",,positive
338, markusoff Atop of accosting a doctor to yell at him on his driveway Alberta health ministers threatening emails to ppl who harangue,,"harangue, threatening",negative
339, joececiyyc Lets be clear about what happened shandro saw a doctor post a meme that he didnt like. Instead of focusing on COVID19,clear,,positive
340, CBCManitoba Gatherings will be limited to 10 people in Manitoba as of Monday due to COVID19. New rule applies to family gatherings w,,limited,negative
341,FirstLoveOT7 KevMaganha chartdata theweeknd HITSDD yes but still canada part of America and the album is English,,,neutral
342, AlbrechtSH keep it up Canada,,,neutral
343,A Vancouver software developer gets 12390 in Private funding. Are you able to get your SmallBusiness funded BCStartup ,,,neutral
344, CBCLondon Amid a critical shortage Londons pandemic ventilator inventor makes his design open source  ,,"critical, shortage",negative
345,"Mar. 30  EDGE Sheridan and ICUBE UTM will host a webinar to talk about managing the COVID19 situation and Canadas 82 billion economic response.

All are welcome to join register here  ",welcome,,positive
346,The January ADP Canada National Employment Report is now live. Canada added 25900 jobs in the month of January with trade transportation and utilities driving much of the job growth. Read the full report   ADPCanadaNER  ,,,neutral
347, FPChampagne Proud of TeamCanada at GAC working 24h7days. These are unprecedented times but we are focused to help Canadians come h,proud,,positive
348,"HealthCanada asks cannabis industry for help with COVID19 testing

",,,neutral
349, kieranleavitt BREAKING Calgary woman may go to police over Alberta health ministers email NDP calls for resignation ableg COVID19,,"breaking, resignation",negative
350," eamorris A fair question. Should government employees who cant work be paid full salary or be required to use EICERB

To which I","fair, work",,positive
351,"Happy WorldTheatreDay  

In recognition of the spectacular contribution of theatre to our economy our culture our communities Im donating to The Actors Fund of Canada. Now more than ever AFChelps onpoli artmatters  ","contribution, happy, spectacular",,positive
352,Its our way of saying thank you. To all Professional Drivers healthcare professionals and first responders going the extra mile for all of us please enjoy a free coffee at our CircleKStores locations in Atlantic Canada and New England. thankatrucker healthcareheroes ,"enjoy, free, thank",,positive
353,On March 25 the Federal Government announced updates to Canadas Economic Response Plan due to COVID19. Weve updated our infographic with the latest information including information on how to access support.  ,,,neutral
354,"B.C. coronavirus resources A list of emergency aid available
Click below to learn more about the benefits and services available through the governments of Canada and British Columbia.

employmentsupport ","available, benefits",,positive
355," HandmaidAlberta Unfit to hold office. Period. 

Note for the future RW ideologue lawyers make lousy Health Ministers. Ableg Abpoli",,"lousy, unfit",negative
356,"In troubling times sound and timely science advice matters. Canada has been fortunate to have a public that largely trusts its knowledge and science actors.

Paul Dufour Senior Fellow ISSPuOttawa uOttawa 

uottawa isspscience covid19

 ","fortunate, timely",,positive
357,On March 25 the Federal Government announced updates to Canadas Economic Response Plan due to COVID19. Weve updated our infographic with the latest information including information on how to access support.  ,,,neutral
358, ezralevant Thats odd. Because Trudeau still allows flights from China to Canada every day.,,,neutral
359, bruceanderson Watching these daily briefings and a lot of tweeps may not agree with me some will be outright hostile   but pound f,,hostile,negative
360," rsmale Ok I just stopped laughing. 

Canadians have decided to stay put as we have a good health care system gun control and a sane","good, sane",,positive
361," Jantafrench The Alberta legislature is reconvening Tuesday. Emergency legislation is coming.

If you missed it heres a story about t",,"emergency, missed",negative
362," ESDCGC Canada Student Loan repayments will be paused for six months starting March 30 2020.

More details  h",,,neutral
363,rlxthegreat JKap415 LOL i just live in Canada ,,,neutral
364, picardonhealth Do more and to do it now  Why Canada needs urgent revisions to its COVID19 response strategy ,,urgent,negative
365," sidneychest Now that this govt closed 317 Service Canada locations across Canada 

Good luck seeing and financial aid for at least 6","good, luck",,positive
366, BirdsCanada Have you been communicating with someone at Birds Canada but havent had a chance to meet them Get to know our team bett,,,neutral
367, WBrettWilson He has to get permission from the biggest ass in Canada  gmbutts  and that aint likely. So up goes taxes in Canada.,,,neutral
368," Teghte WhereIsBuhari 

London 1.45 odds
Dubai 1.60
USA 2.10
Canada 2.45

BET RESPONSIBLY",responsibly,,positive
369, CanadensisMax Dear American neighbours your President is a fucking nut.  Love Canada.,love,fucking,neutral
370,thehorsegirl15 why is canada sending medical equipment to china when canada needs it hasnt he heard that there is a pandemic and canada is affected,,,neutral
371, AIRMILES ATTN Collectors We have updates for those with impacted AIR MILES Air Canada travel bookings. Please visit ,,,neutral
372,"Take a deep breath and enjoy your weekend  things will get better. 

friday weekend enjoy family friends breathe relax laugh smile positive yyc calgary alberta canada insurance desjardinsinsurance agent live love saturday sunday ","enjoy, love, positive, smile",,positive
373,TDCanada your 1 800 number has not worked for four days. What are other numbers to call,worked,,positive
374, bruceanderson Watching these daily briefings and a lot of tweeps may not agree with me some will be outright hostile   but pound f,,hostile,negative
375, CanEmbCuba   Passengers taking flight CA880 AC6627 with AirChinaNA from HAV to YUL on March 28  Ensure you arrive early for regi,,,neutral
376,"Boston Pizza International laying off half of its corporate staff across Canada.

",,,neutral
377,Hey Fakenews in Canada  healthcare is the responsibility of the provinces its the same in the USA so everyone knows blaming Trump is political blame lays at the feet of state governors especially the Liberal ones  who had leftist priorities CNN MSNBC,trump,blame,neutral
378, ezralevant Why cant you find a mask to wear For two months China had its expats around the world buy up protective gear in bulk an,protective,,positive
379, USARC Publisher in Arctic Canada Putting InuitLanguage Books Online Amidst COVID19 Closures. ,,,neutral
380, CanadensisMax Dear American neighbours your President is a fucking nut.  Love Canada.,love,fucking,neutral
381,"NEW  Food banks are in for a rough ride but 500K pledge from province is big help



cbcnl covid19nfld ",,rough,negative
382," DrJacobsRad Please continue to social distance yourselves. We do not want to test the capacity of our ICU infrastructure.

No country",,,neutral
383, kakra68 Coronavirus Mexicans demand crackdown on Americans crossing the border ,,,neutral
384,"Ontario may have missed a third or more COVID19 cases as testing backlog has grown Star analysis finds
",,missed,negative
385, raybae689 Canada Has Banned Every Other Elective Surgery But People Can Still Kill Babies in Abortions  ,,kill,negative
386," Lumberist Canada in 2020 during Covid

Hospital amp medical staff We are here for our community
Grocery store staff We are here for",,,neutral
387,WalmartCanada  Wal mart is garbage. Customer care tells me they r located in the Phillipines but for Canada they r in Montreal and no English ppl can help. Needed help as im here alone with a 200 grocery order but theyd rather cancel then help after a 1.5hr phone hold. .,,,neutral
388,Trump signs largest bailout in US history ,trump,,positive
389,Just a thought with this 2 trillion stimulus package we could purchase Canada twice.,,,neutral
390," Lumberist Canada in 2020 during Covid

Hospital amp medical staff We are here for our community
Grocery store staff We are here for",,,neutral
391,"MeghanMcCain TheView You are still gorgeous gal. Best wishes to you and your husband and family on your happy news about the babe.  I watch The View from Canada every day. Thanks to all of you on your perspectives varied that they are.   Lol. Stay safe and say well. 

Cheers to you and yours. 
","best, gorgeous, happy, safe",,positive
392,TOMORROW AT 1025  We speak with Dr. Arnav Agarwal of OHIP for All about providing medicare for everyone in Canada during the pandemic and beyond  iArnavAgarwal  ohipforall HealthCoalition CdnDrs4Medicare  HealthCareForAll ,,,neutral
393,"CloseTheBorders realDonaldTrump Canada USA 

Just saying we aint coming... ",,,neutral
394, SwannyQLD Canada has announced  a 75 wage subsidy demonstrating yet again the Governments crashing failure in face of crisis,,"crashing, crisis, failure",negative
395,Im Becky Steeves and Im supporting LouisTomlinson from Atlantic Canada . Oi Oi LTWTDoncaster LTWalls,supporting,,positive
396, cbcnewsbc BREAKING NEWS Modelling shows physical distancing has halved spread of COVID19 in B.C. officials say  CBC News ,,breaking,negative
397,Thank you  Manitoba launches online counselling to help with anxiety during COVID19 pandemic  CBC News ,thank,anxiety,neutral
398,"SJPeace No because the media is too much on about COVID19.  Did you hear about the 3 guys 2 in Canada and 1 in the U.S testing positive for CV19 and going out to stores coughing on everything and everyone they could to spread it.
But not this guy. If it isnt Covid 19 they wont.",positive,,positive
399," Jantafrench The Alberta legislature is reconvening Tuesday. Emergency legislation is coming.

If you missed it heres a story about t",,"emergency, missed",negative
400,"When the US has a cold Canada sneezes. 

cdnpoli covid19 healthcare",,cold,negative
401, andrewphung As an Albertan and someone who once called you a friend Im very disappointed in your behaviour shandro. You are an ele,,disappointed,negative
402," btsotc MOTS 7 has achieved 21 1s on Official Charts
1 US
1 Japan
1 UK
1 Germany
1 France
1 Korea
1 Australia
1 Spain
1 Can",,,neutral
403,Harry and Meghan didnt last long in Canada...heading to the US. Imagine that.,,,neutral
404,"Duncan and Pam Crowdis tested positive for COVID19 over the weekend after returning from Texas.  CBCNS

",positive,,positive
405,"can gather again in the dark waiting to be transformed.

This is Canadas World Theatre Day message written by Artistic Director of Thtre Cercle Molire Genevive Pelletier and translated into English by Alexis Diamond. ",,dark,negative
406,"Respiratory viruses can be passed by shaking hands amp touching your eyes nose amp mouth. 

We can all do our part in preventing the spread of COVID19. For more information  amp 

washYourHands socialDistancing stayInformed ",,,neutral
407,pennysuicide That is incredibly cruel of him. If only you were in Canada and you would have income to fall back on. Hang in there and remember your biological family isnt always your true family.,,"cruel, fall, hang",negative
408,201029  EvgeniaMedvedeva free skate to Extremely Loud and Incredibly Close at Skate Canada International 2016 ,"free, incredibly",,positive
409,"Todays spotlight kingcael

Cael lives in Canada and likes to cook bake and draws pictures sometimes. His favourite colour is yellow and he smells like mint. ","like, likes",,positive
410, AIRMILES ATTN Collectors We have updates for those with impacted AIR MILES Air Canada travel bookings. Please visit ,,,neutral
411,Border towns in Canada petrified by possibility of U.S. easing coronavirus measures  National   ,easing,petrified,neutral
412, MrAndyNgo China bought up mass quantities of medicine and medical supplies from Western countries like Canada and Australia last month,like,,positive
413, CanadaProsper Why are we fighting this Its to our benefit to have the military there to hold back the swarms of infected Americans fr,benefit,infected,neutral
414, CanadianLabour Canadas unions are standing with workers and their families during this unprecedented pandemic. Its time to support o,support,,positive
415, mssinenomine Does anyone know if this Instacart strike will be happening in Canada too If so I will of course respect picket line n,,"picket, strike",negative
416, cbcnewsbc BREAKING NEWS Modelling shows physical distancing has halved spread of COVID19 in B.C. officials say  CBC News ,,breaking,negative
417, ot7agha A lot of thanks to all the AhGaSe from Canada who helped out with this project And thanks to the organisation womenshelter f,helped,,positive
418,Whoever purchased my books in Canada and England thank you. I may not be an international best selling author but now I am an intentionally read author. WritingCommunity,"best, thank",,positive
419, SolidariteMTL BREAKING Immigration detainees are now on hunger strike at the Laval Immigration Detention Centre due to fears of COVI,,"breaking, fears, strike",negative
420, CBCAlerts Bank of Canada slashes interest rate by 50 basis points to overnight target rate of .25. This unscheduled rate decision...,,,neutral
421, JustinTrudeau We are implementing the Quarantine Act to keep all Canadians safe. So let me be clear If you do not go home and stay ho,clear,,positive
422, SafewayCanada To grocery workers across Canada and the world we thank you. In these uncertain times we are grateful we can depend on,"grateful, thank",,positive
423," BBCWorld Mexicans demand crackdown on Americans crossing the border 

",,,neutral
424, TheLawofWork The laws change every day in relationship to work and COVID19.  Heres a revised version of a post on work law in Canada,work,,positive
425, picardonhealth A glimmer of hope  PhysicalDistancing has halved spread of COVID19 in B.C. modelling suggests by rhiannaschmunk,glimmer,,positive
426," Jantafrench The Alberta legislature is reconvening Tuesday. Emergency legislation is coming.

If you missed it heres a story about t",,"emergency, missed",negative
427,CanadasPatriots Time for unity...not attacking each other. Voting for anyone in Canada Inc is the problem. Until we get that we are doomed. It is a foreign corporation.,,,neutral
428," michelleeliot Well bring you this live at 11 PT wcbcstephenquinn.  And well follow with your calls on bctoday

B.C. set to rel",well,,positive
429, andrewphung As an Albertan and someone who once called you a friend Im very disappointed in your behaviour shandro. You are an ele,,disappointed,negative
430, kieranleavitt Full story. Still no word from the minister or his ministry or the premier. Nor have many government staffers been out d,,,neutral
431, ezralevant Thats odd. Because Trudeau still allows flights from China to Canada every day. ,,,neutral
432, rakeshnaidu1212 Applaud the Government of Canada for offering 75 wage subsidy to employers. This will go a long way in supporting the,"applaud, supporting",,positive
433, 22Minutes Harry and Meghan have left Canada and moved to California which means the only Canadian royalty left is Eugene Levy and Ca,,,neutral
434, CBCAlerts Another 7 cases of COVID19 have been reported in AbitibiTmiscamingue Quebec. That gives the province a total of 1636 co,,,neutral
435,"This is just outstanding. 

After 40 years flying for Air Canada captain Blair Wiseman announces during flight from Casablanca to Canada its most likely his last flight. 

All the best to you Captain Wiseman in your retirement. ",best,,positive
436, WestviewAl TorontoPearson ChinaEasternNA foundationma AlibabaGroup As we read about Jack Ma donating vital equipment to Canadas,,,neutral
437, FoodSecureCAN Miss our webinar yesterday on food insecurity in Canada with proofcanada The recording is now available here  ,,"insecurity, miss",negative
438," xgohub COVID19 New Cases

11533  USA

6273 Spain
6240 Germany
5909 Italy
3809 France
2926 Iran
2885 UK
2",,,neutral
439," worldwarbot January 2020 United States of America conquered Canada territory.
Canada has been completely defeated.
208 countries rema",,,neutral
440,Chibihoshi  you are always so sweet and supportive  I wonder most about whether youre in Canada or in Japan Youve been posting a lot about idols and I want you to know that youre a cute idol too ,"cute, idol, supportive, sweet, wonder",,positive
441, suivicovid Canada still following the US trajectory. Still waiting for physicaldistancing measures to start paying off... ,,,neutral
442,The great thing about running as a sport is how adaptable and independent it is. Getting outside and going for runs has always been therapeutic for me and now more than ever Im appreciating my time on the trails. Canadas pro marathoner Rachel Cliff.  ,"adaptable, great",,positive
443," SarahTaberbww If anyones looking for good realtime tracking of COVID info in the US amp Canada check out

",good,,positive
444, Frajud12 Here are the 2 Mounties sent by Canada to shoo away US troops massing at the border. They left Ottawa this morning amp should,,,neutral
445," rsmale Ok I just stopped laughing. 

Canadians have decided to stay put as we have a good health care system gun control and a sane","good, sane",,positive
446, RomeoSaganash Our lives dont really matter to Ottawa as usual IPs are easily neglected and their rights always disregarded. When a,,neglected,negative
447,"How are you staying connected with your Littles while you stay at home

Here are some fun ideas from Big Brothers Big Sisters of Canada. StayConnected ",fun,,positive
448,Any celebrities in Canada looking to give away money We dont have cashapp or venmo up here lol help,,,neutral
449," rsmale Ok I just stopped laughing. 

Canadians have decided to stay put as we have a good health care system gun control and a sane","good, sane",,positive
450," JennEngineer Due to Corona we officially have three days of the week

1. Yesterday 
2. Today
3. Tomorrow",,,neutral
451, labourstart KENYA  Some Kenyan nurses refuse coronavirus patients in protest over shortages   ,,"protest, refuse",negative
452," btsotc MOTS 7 has achieved 21 1s on Official Charts
1 US
1 Japan
1 UK
1 Germany
1 France
1 Korea
1 Australia
1 Spain
1 Can",,,neutral
453, bruceanderson Watching these daily briefings and a lot of tweeps may not agree with me some will be outright hostile   but pound f,,hostile,negative
454," NancyCrouse I am in Ontario and I just received an alert on my cell phone. CIVIL EMERGENCY ALE. 
All people returning to Canada mus",,emergency,negative
455,Trudeau Sent 17 Tons Of Coronavirus Protective Supplies To China  Now Canada Running Low ,protective,,positive
456, DaveBeninger As a former staff in the Premiers and a Ministers office  every paragraph in this article is more unbelievable than th,,unbelievable,negative
457, charlesrusnell Follow coming soon but heres the original story. No response yet from jkenney for call from NDP opposition for Shandr,,opposition,negative
458,LauraD1216 RealCindy9 Yeah but how can she become a big evenmorefamous movie star from Canada Ambition over family over duty over convictions.,,,neutral
459," Teghte WhereIsBuhari 

London 1.45 odds
Dubai 1.60
USA 2.10
Canada 2.45

BET RESPONSIBLY",responsibly,,positive
